model,metric,mean,lo,hi
mlp,Delta R2,0.03429414045698758,0.027245519381504317,0.03998595182451366
mlp,Delta nRMSE,-0.46168773800761365,-0.5485947144375224,-0.37585871249093683
rf,Delta R2,0.027007312779725002,0.01972437437336606,0.03425191864988756
rf,Delta nRMSE,-0.35674766694912985,-0.4759762501632611,-0.25603604037330885
transformer,Delta R2,0.0035470346922611188,-0.01687667946181348,0.03416207263038882
transformer,Delta nRMSE,-0.051211128725315594,-0.4225323433293788,0.1842608959366888
